Definition: ,Percentage of youngest children under six months of age living with the mother who are exclusively breastfed,,,,,,
Denominator,Children under age 6 months,,,,,,
,,,,,,,
Average:,0.56420765,,National Weighted Average,,58.7,Statcompiler,59.9
,,,,,,,
,,,,,,,
v001,youngestchildwithmum,exclusivelybreastfed,,,,,
723,0,0,.,,,,
724,2,0,0,,,,
725,0,0,.,,,,
726,0,0,.,,,,
727,0,0,.,,,,
728,0,0,.,,,,
729,0,0,.,,,,
730,0,0,.,,,,
731,0,0,.,,,,
732,0,0,.,,,,
733,0,0,.,,,,
734,1,1,1,,,,
735,0,0,.,,,,
736,0,0,.,,,,
737,1,1,1,,,,
738,1,0,0,,,,
739,2,2,1,,,,
740,1,0,0,,,,
741,0,0,.,,,,
742,0,0,.,,,,
743,0,0,.,,,,
744,1,1,1,,,,
745,1,1,1,,,,
746,0,0,.,,,,
747,0,0,.,,,,
748,0,0,.,,,,
749,0,0,.,,,,
750,0,0,.,,,,
751,1,1,1,,,,
752,1,1,1,,,,
753,2,1,0.5,,,,
754,0,0,.,,,,
755,0,0,.,,,,
756,0,0,.,,,,
757,0,0,.,,,,
758,0,0,.,,,,
759,0,0,.,,,,
760,0,2,.,,,,
761,2,2,1,,,,
762,0,0,.,,,,
763,0,0,.,,,,
764,0,0,.,,,,
765,0,0,.,,,,
766,1,0,0,,,,
767,0,0,.,,,,
768,1,1,1,,,,
769,0,0,.,,,,
770,1,1,1,,,,
771,0,0,.,,,,
772,0,0,.,,,,
773,1,1,1,,,,
774,0,0,.,,,,
775,0,0,.,,,,
776,0,0,.,,,,
777,1,1,1,,,,
778,2,0,0,,,,
779,4,2,0.5,,,,
780,0,0,.,,,,
781,0,0,.,,,,
782,2,2,1,,,,
783,1,0,0,,,,
784,0,0,.,,,,
785,0,0,.,,,,
786,1,0,0,,,,
787,0,0,.,,,,
788,1,1,1,,,,
789,1,1,1,,,,
790,2,0,0,,,,
791,0,0,.,,,,
792,1,0,0,,,,
793,2,1,0.5,,,,
794,2,1,0.5,,,,
795,0,0,.,,,,
796,1,1,1,,,,
797,3,2,0.666666667,,,,
798,0,0,.,,,,
799,1,1,1,,,,
800,0,0,.,,,,
801,1,1,1,,,,
802,1,1,1,,,,
803,0,0,.,,,,
804,0,0,.,,,,
805,1,0,0,,,,
806,0,0,.,,,,
807,1,1,1,,,,
808,2,0,0,,,,
809,0,0,.,,,,
810,1,1,1,,,,
811,0,0,.,,,,
812,2,2,1,,,,
813,0,0,.,,,,
814,2,1,0.5,,,,
815,3,2,0.666666667,,,,
816,0,0,.,,,,
817,1,1,1,,,,
818,3,3,1,,,,
819,0,0,.,,,,
820,4,3,0.75,,,,
821,2,1,0.5,,,,
822,1,1,1,,,,
823,1,1,1,,,,
824,2,1,0.5,,,,
825,1,0,0,,,,
826,3,1,0.333333333,,,,
827,3,2,0.666666667,,,,
828,0,1,.,,,,
829,1,1,1,,,,
830,3,3,1,,,,
831,0,0,.,,,,
832,1,1,1,,,,
833,2,0,0,,,,
834,1,1,1,,,,
835,0,0,.,,,,
836,2,1,0.5,,,,
837,1,1,1,,,,
838,0,0,.,,,,
839,1,0,0,,,,
840,1,1,1,,,,
841,2,2,1,,,,
842,0,0,.,,,,
843,1,1,1,,,,
844,0,0,.,,,,
845,2,1,0.5,,,,
846,1,0,0,,,,
847,1,0,0,,,,
848,1,1,1,,,,
849,0,0,.,,,,
850,0,0,.,,,,
851,0,0,.,,,,
852,0,0,.,,,,
853,2,2,1,,,,
854,1,1,1,,,,
855,0,0,.,,,,
856,0,0,.,,,,
857,1,1,1,,,,
858,1,1,1,,,,
859,1,1,1,,,,
860,0,0,.,,,,
861,1,1,1,,,,
862,1,2,2,,,,
863,1,1,1,,,,
864,0,0,.,,,,
865,0,0,.,,,,
866,0,0,.,,,,
867,0,0,.,,,,
868,1,1,1,,,,
869,2,2,1,,,,
870,1,1,1,,,,
871,2,2,1,,,,
872,0,0,.,,,,
873,0,0,.,,,,
874,1,1,1,,,,
875,0,0,.,,,,
876,1,1,1,,,,
877,1,0,0,,,,
878,1,1,1,,,,
879,0,0,.,,,,
880,0,0,.,,,,
881,1,0,0,,,,
882,0,0,.,,,,
883,0,0,.,,,,
884,0,0,.,,,,
885,1,0,0,,,,
886,0,0,.,,,,
887,1,1,1,,,,
888,0,0,.,,,,
889,0,0,.,,,,
890,1,1,1,,,,
891,0,0,.,,,,
892,1,0,0,,,,
893,1,0,0,,,,
894,0,0,.,,,,
895,0,0,.,,,,
896,0,0,.,,,,
897,0,0,.,,,,
898,0,0,.,,,,
899,0,0,.,,,,
900,0,0,.,,,,
