Definition: ,Percentage of live births in the five (or three) years preceding the survey whose birth weight was less than 2.5 kg,,,,,,
Denominator,Live births in the five (or three) years preceding the survey with a reported birth weight,,,,,,
,,,,,,,
Average:,0.074455861,,National Weighted Average,,7.5,Statcompiler,7.6
,,,,,,,
,,,,,,,
,,,,,,,
v001,birthweightreported,lowbirthweight,,,,,
661,1,1,1,,,,
662,5,1,0.2,,,,
663,1,0,0,,,,
664,3,0,0,,,,
665,6,0,0,,,,
666,3,1,0.333333333,,,,
667,4,1,0.25,,,,
668,3,0,0,,,,
669,5,0,0,,,,
670,1,0,0,,,,
671,1,0,0,,,,
672,5,0,0,,,,
673,6,0,0,,,,
674,5,0,0,,,,
675,4,0,0,,,,
676,3,1,0.333333333,,,,
677,3,2,0.666666667,,,,
678,1,1,1,,,,
679,4,0,0,,,,
680,2,0,0,,,,
681,10,0,0,,,,
682,10,2,0.2,,,,
683,4,0,0,,,,
684,2,0,0,,,,
685,10,0,0,,,,
686,0,0,.,,,,
687,2,0,0,,,,
688,0,0,.,,,,
689,1,0,0,,,,
690,1,0,0,,,,
691,1,0,0,,,,
692,2,0,0,,,,
693,3,0,0,,,,
694,3,0,0,,,,
695,0,0,.,,,,
696,3,2,0.666666667,,,,
697,2,0,0,,,,
698,1,0,0,,,,
699,3,0,0,,,,
700,5,0,0,,,,
701,3,0,0,,,,
702,7,0,0,,,,
703,6,1,0.166666667,,,,
704,8,1,0.125,,,,
705,2,0,0,,,,
706,6,0,0,,,,
707,12,3,0.25,,,,
708,10,1,0.1,,,,
709,0,0,.,,,,
710,3,1,0.333333333,,,,
712,0,0,.,,,,
713,0,0,.,,,,
714,0,0,.,,,,
715,0,0,.,,,,
716,1,0,0,,,,
717,0,0,.,,,,
718,3,1,0.333333333,,,,
719,7,0,0,,,,
720,0,0,.,,,,
721,4,0,0,,,,
722,1,0,0,,,,
724,7,1,0.142857143,,,,
726,1,1,1,,,,
727,0,0,.,,,,
728,0,0,.,,,,
729,1,0,0,,,,
730,3,0,0,,,,
731,4,0,0,,,,
732,3,0,0,,,,
733,0,0,.,,,,
734,1,0,0,,,,
735,0,0,.,,,,
736,2,0,0,,,,
737,2,0,0,,,,
738,0,0,.,,,,
739,5,0,0,,,,
741,1,0,0,,,,
742,1,0,0,,,,
743,0,0,.,,,,
744,1,0,0,,,,
745,0,0,.,,,,
746,3,0,0,,,,
747,5,0,0,,,,
748,5,1,0.2,,,,
749,3,0,0,,,,
750,8,2,0.25,,,,
751,8,0,0,,,,
752,12,2,0.166666667,,,,
753,5,0,0,,,,
754,0,0,.,,,,
755,3,1,0.333333333,,,,
756,3,0,0,,,,
757,0,0,.,,,,
