hv001,Primaryage,NARPrimary,
525,10,10,1
526,20,20,1
527,14,14,1
528,22,21,0.954545455
529,22,22,1
530,34,31,0.911764706
531,14,12,0.857142857
532,5,5,1
533,3,3,1
534,7,7,1
535,18,18,1
536,6,6,1
537,16,15,0.9375
538,22,21,0.954545455
539,16,16,1
540,18,18,1
541,14,13,0.928571429
542,9,9,1
543,26,24,0.923076923
544,32,28,0.875
545,15,14,0.933333333
546,22,21,0.954545455
547,11,10,0.909090909
548,6,5,0.833333333
549,20,18,0.9
550,13,13,1
551,15,15,1
552,16,14,0.875
553,25,24,0.96
554,14,13,0.928571429
555,14,12,0.857142857
556,26,25,0.961538462
557,28,27,0.964285714
558,28,28,1
559,14,14,1
560,23,23,1
561,28,24,0.857142857
562,23,16,0.695652174
563,37,28,0.756756757
564,6,6,1
565,6,6,1
566,10,10,1
567,5,5,1
568,14,14,1
569,9,8,0.888888889
570,9,9,1
571,20,20,1
572,12,12,1
573,19,19,1
574,12,11,0.916666667
575,19,18,0.947368421
576,16,16,1
577,10,10,1
578,14,14,1
579,13,13,1
580,19,19,1
581,8,8,1
582,13,13,1
583,27,27,1
584,18,18,1
585,17,16,0.941176471
586,15,14,0.933333333
587,17,16,0.941176471
588,21,18,0.857142857
589,16,16,1
590,26,21,0.807692308
591,21,21,1
592,20,19,0.95
593,28,27,0.964285714
594,22,19,0.863636364
595,20,20,1
596,18,18,1
597,39,38,0.974358974
598,34,27,0.794117647
599,13,13,1
600,8,8,1
601,19,18,0.947368421
602,21,18,0.857142857
603,25,23,0.92
604,20,18,0.9
605,28,27,0.964285714
606,25,23,0.92
607,31,30,0.967741935
608,34,31,0.911764706
609,19,19,1
610,26,22,0.846153846
611,9,9,1
612,32,31,0.96875
613,8,6,0.75
614,35,34,0.971428571
615,36,32,0.888888889
616,52,46,0.884615385
617,36,27,0.75
618,12,11,0.916666667
619,6,5,0.833333333
620,38,36,0.947368421
621,40,37,0.925
622,22,21,0.954545455
623,20,19,0.95
624,24,24,1
625,32,28,0.875
626,25,23,0.92
627,30,25,0.833333333
628,31,27,0.870967742
629,34,34,1
630,1,1,1
631,10,10,1
632,12,11,0.916666667
633,10,10,1
634,6,5,0.833333333
635,21,21,1
636,20,20,1
637,18,18,1
638,20,18,0.9
639,11,11,1
640,14,14,1
641,6,6,1
642,20,20,1
643,20,20,1
644,26,25,0.961538462
645,25,25,1
646,29,28,0.965517241
647,25,25,1
648,31,31,1
649,23,23,1
650,21,21,1
651,25,24,0.96
652,29,27,0.931034483
653,23,23,1
654,30,28,0.933333333
655,18,16,0.888888889
656,22,21,0.954545455
657,30,30,1
658,35,33,0.942857143
659,19,18,0.947368421
660,18,18,1
661,28,27,0.964285714
662,27,26,0.962962963
663,10,10,1
664,22,20,0.909090909
665,24,23,0.958333333
666,27,24,0.888888889
667,16,16,1
668,31,30,0.967741935
669,15,15,1
670,10,9,0.9
671,25,23,0.92
672,7,7,1
673,24,22,0.916666667
674,25,25,1
675,21,20,0.952380952
676,30,30,1
677,28,26,0.928571429
678,34,30,0.882352941
679,30,27,0.9
680,23,23,1
681,33,30,0.909090909
682,35,35,1
683,7,7,1
684,19,19,1
685,43,39,0.906976744
686,35,34,0.971428571
687,19,18,0.947368421
688,30,29,0.966666667
689,33,31,0.939393939
690,33,30,0.909090909
691,31,30,0.967741935
692,22,20,0.909090909
693,22,21,0.954545455
694,20,20,1
695,2,2,1
696,28,27,0.964285714
697,25,24,0.96
698,5,5,1
699,17,17,1
700,17,13,0.764705882
701,12,11,0.916666667
702,43,32,0.744186047
703,19,13,0.684210526
704,36,22,0.611111111
705,36,18,0.5
706,25,13,0.52
707,49,28,0.571428571
708,46,20,0.434782609
709,41,28,0.682926829
710,40,24,0.6
712,20,6,0.3
713,19,11,0.578947368
714,36,14,0.388888889
715,40,19,0.475
716,35,12,0.342857143
717,30,23,0.766666667
718,45,25,0.555555556
719,37,17,0.459459459
720,35,21,0.6
721,24,18,0.75
722,25,13,0.52
724,54,45,0.833333333
726,19,11,0.578947368
727,34,18,0.529411765
728,35,22,0.628571429
729,36,17,0.472222222
730,22,15,0.681818182
731,23,12,0.52173913
732,40,13,0.325
733,13,2,0.153846154
734,32,19,0.59375
735,41,12,0.292682927
736,44,17,0.386363636
737,52,28,0.538461538
738,42,20,0.476190476
739,38,28,0.736842105
741,25,5,0.2
742,45,35,0.777777778
743,18,13,0.722222222
744,36,19,0.527777778
745,57,39,0.684210526
746,14,11,0.785714286
747,30,24,0.8
748,31,23,0.741935484
749,30,18,0.6
750,56,35,0.625
751,36,26,0.722222222
752,16,14,0.875
753,42,30,0.714285714
754,44,26,0.590909091
755,49,34,0.693877551
756,35,26,0.742857143
757,29,17,0.586206897
760,30,11,0.366666667
761,46,27,0.586956522
762,35,19,0.542857143
