v001,childage6to23,mimimumacceptablediet,
1591,5,1,0.2
1592,1,0,0
1593,2,0,0
1594,2,0,0
1595,2,0,0
1596,2,0,0
1597,1,0,0
1598,2,0,0
1599,2,0,0
1600,2,0,0
1601,2,0,0
1602,1,0,0
1603,2,0,0
1604,3,0,0
1605,2,0,0
1606,1,0,0
1607,4,0,0
1608,2,0,0
1609,2,0,0
1610,3,0,0
1611,1,0,0
1612,2,1,0.5
,2805,507,0.186390587
